Item,Sentence,all,a lot (of),,,,
86100:26,you have  to have [SOME] compassion [SOME] humanness.,No; No,Yes; Yes,,,,
138350:6,and [SOME] ways i didn't.,Yes,Yes,,,,
103644:40,"i, i think, with solving [SOME] of the energy, future energy problems, we'll probably solve [SOME] of the pollution problems as well.",Yes; Yes,Yes; Yes,,,,
70123:18,at least y'all are getting [SOME] rain up in dallas.,No,Yes,,,,
16456:40,"you put, um, really good vanilla favoring  in it and [SOME] butter",No,Yes,,,,
31195:47,"but, uh, still i, i questioned the ability of [SOME] of the teachers to, uh, really do a bang-up job,",Yes,Yes,,,,
166876:51,i think that should be left  up to people who  have [SOME] knowledge in the subject and more knowledge than a jury would have.,Yes,Yes,,,,
28597:28,"and we, uh, got a quote on [SOME] laser printers  the other day at six hundred dollars.",No,Yes,,,,
23951:137,"and if you take, uh, little pieces of pork  and you fry them, like little cubes of pork. and you fry them with garlic and a little bit of, couple dashes of hot pepper and then mix [SOME] hoi sin sauce with sherry, just a little sherry  to thin it, and stir that in.",No,Yes,,,,
162249:54,"but, uh, there's a four o one k plan uh, for, uh, sheltering [SOME] taxable income.",Yes,Yes,,,,
154986:45,"and then i, and then they in turn will get [SOME] money from the bottlers and from the the people that  do the canning of the pop and the beer as as well.",Yes,Yes,,,,
362:44:00,"that's just a matter of defining priorities, i guess or [SOME] priorities anyway.",Yes,Yes,,,,
31533:12,and it takes [SOME] drastic steps at this point.,No,Yes,,,,
136205:15,so there has been [SOME] flooding,No,Yes,,,,
159592:14,"but, uh, [SOME] of these groups now like slaughter.",Yes,Yes,,,,
100603:25,"usually there has  to be [SOME] wealth involved, which  is great, if, if you're financially, if, if you don't make the decisions so late that you're worried about money",No,Yes,,,,
97106:13,"it's, [SOME] good, [SOME] bad, uh,",Yes; Yes,Yes; Yes,,,,
20176:47,"so i think in, in [SOME] as-, [SOME] ways we are, uh, becoming a little too egalitarian in that, in that sense,",Yes,Yes,,,,
43559:43,you wonder how in the world they ever got them to do [SOME] of these things .,Yes,Yes,,,,
82687:34,"but, you know, i know there are [SOME] days when she wi-, she wishes she was back at work .",No,Yes,,,,
16608:27,i was trying  to think about [SOME] of my favorite people that i liked  in music,Yes,Yes,,,,
160988:9,"but also [SOME] poodles, uh",Yes,Yes,,,,
12998:28,"and he, he likes [SOME] of the new groups like shenandoah,",Yes,Yes,,,,
63963:80,"i, i wonder about [SOME] of the prod-, products that they don't take , like [SOME] of the plastics and things that they don't take . uh, why, why they couldn't do more recycling with those .",Yes; Yes,Yes; Yes,,,,
72420:95,"there are a lot of jobs that  are coming about, like in computers at home, and those types of things, that  would at least in [SOME] ways, um, bridge the gap.",Yes,Yes,,,,
177493:13,i've cut [SOME] one by eight oak before.,No,Yes,,,,
84120:11,there was [SOME] plants that  are just spring bloomers,Yes,Yes,,,,
77843:15,every weekend there was [SOME] visiting somewhere.,No,Yes,,,,
123916:50,i don't know who  played when and who  does what like [SOME] guys are.,Yes,Yes,,,,
99608:4,"some schools i know  give, uh, oh,",Yes,Yes,,,,
28274:4,some kids are really having it.,Yes,Yes,,,,
38651:29,"um, i trying  to think of [SOME] of my other favorite books,",Yes,Yes,,,,
4489:44:00,"and, uh, so it's had that orientation for quite [SOME] time.",No,Yes,,,,
148463:10,"um, [SOME] of it sounds more like pop music.",Yes,Yes,,,,
71322:37,"in germany or in, in england in [SOME] cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes.",Yes,Yes,,,,
152284:11,like in [SOME] of the large oil companies. there has been massive lay offs.,Yes,Yes,,,,
97229:18,or we really do develop [SOME] health problems.,No,Yes,,,,
143752:15,it seems that [SOME] of them have gotten higher,Yes,Yes,,,,
50719:6,and [SOME] people would get military service,Yes,Yes,,,,
168823:14,"but there were [SOME] things  that people brought  up like well what  happens if they, they get a false positive, you know, what recourse do you have .",No,Yes,,,,
168236:157,"uh, and really, i-, i-, we were really forced  into  keeping a budget because i'm, i'm paid once a month which  sort of, sort of forces some, uh, uh, restrictions",No,Yes,,,,
33143:60,"but there's, uh, they're a pain to peel  for [SOME] people.",Yes,Yes,,,,
20838:36,"and so, you know, when i found out [SOME] places to take it",Yes,Yes,,,,
151303:29,"well, you know, you can take [SOME] of that, that testing a little bit too far.",Yes,Yes,,,,
60960:37,"on channel thirteen, uh, they had some, [SOME] programs the day before,",Yes,Yes,,,,
75571:7,and [SOME] of the other ones weren't born.,Yes,Yes,,,,
43815:11,there's [SOME] nice stuff  over there to see .,No,Yes,,,,
26291:55,"and, and, it's, it's limited application in [SOME] respects.",Yes,Yes,,,,
55120:15,"boy, they'd [SOME] big changes, speaking of them.",Yes,Yes,,,,
7100:11:00,"well, and [SOME] people use one credit card  to pay for another credit card they own ,",Yes,Yes,,,,
71321:4,"some states they pay, uh,",Yes,Yes,,,,
138141:9,put [SOME] shelves in,No,Yes,,,,
77852:30,"we, although we have [SOME] relatives in the area that we, we see , we,",No,Yes,,,,
89259:13,i think [SOME] parents go a little bit overboard.,Yes,Yes,,,,
98986:4,"some people just sit on them once in their lifetime, you know, if they're that lucky sometimes. or, you know, what, whatever the case may be . and, and may not have any idea of what, what the standard punishment  would be  for it.",Yes,Yes,,,,
32953:16,"and i've got [SOME] broccoli, uh, onions some, [SOME] radishes and, uh, uh, beets.",No; No,Yes; Yes,,,,
166806:63,"i think that a majority of the places in the u s, uh, you know, there is [SOME] government aid available,",No,Yes,,,,
111407:85,"i was just in the shower after  finishing mowing the lawn and, you know,  mowing the lawn and removing [SOME] old petunias out of the garden,",No,Yes,,,,
160087:28,"uh, you know, as sort of [SOME] development and [SOME] training, uh,",No; No,Yes; Yes,,,,
176211:25,i'm sure there must be [SOME] good ones around here somewhere.,No,Yes,,,,
140818:41,"well, we've heard bad, we've heard [SOME] bad things about [SOME] of those, you know,",Yes; Yes,Yes; Yes,,,,
80438:40,"but when you get into [SOME] of these, [SOME] of health clubs where you just stand around and wait  .",Yes; Yes,Yes; Yes,,,,
124760:28,"that might help a little bit, especially in [SOME] places.",Yes,Yes,,,,
61917:28,and also i'm interested in writing [SOME] programs that  will kind of like remind me of things like remind me that wednesdays is trash day and the like.,No,Yes,,,,
33466:11,i got [SOME] interesting information about crawfish,No,Yes,,,,
139729:13,we've got [SOME] children,No,Yes,,,,
38592:10,"right now [SOME] of the things i'm working with  are kids that  are dealing with sexual abuse,",Yes,Yes,,,,
72079:13,"or sand even [SOME] of them,",Yes,Yes,,,,
127456:31,"oh, i, i know [SOME] of the people.",Yes,Yes,,,,
88001:23,"that would provide, uh, possibly [SOME] relief there to utilize [SOME] of the property taxes for other things, see.",No; Yes,Yes; Yes,,,,
61752:73,"so, uh, we got, we, we put dirt in the hole and then put [SOME] chicken wire around it, you know, so that he couldn't get out.",No,Yes,,,,
87240:87,"and i, i, i, i have  to think that, that it has [SOME] influence on it.",Yes,Yes,,,,
140196:19,"uh, and then what [SOME] people would consider  a little more difficult, i, i'll change spark plugs",Yes,Yes,,,,
128489:17,"but if you do [SOME] basic exercises and you say every morning, just like brushing your teeth you're going  to spend fifteen minutes or a half hour.",Yes,Yes,,,,
3878:16:00,well i've gotten [SOME] good ideas from you.,Yes,Yes,,,,
156086:35,"well, not, not as hard as [SOME] places out west because you don't get the, uh, major pollution sources as you do out in denver  with the inversion and los angeles and a-, rest of california which  is just terrible it sounds.",Yes,Yes,,,,
174581:22,"and, of course, you have [SOME] savings in terms of taxpayer money  keeping people in jail or not.",No,Yes,,,,
161281:21,"i'm into, uh, [SOME] industrial music that 's, a, a bit even harder than that.",Yes,Yes,,,,
76223:21,"anyway, it ended up after [SOME] pretty, uh, heavy bidding, that i got all those bricks for forty dollars.",No,Yes,,,,
118955:17,"these, [SOME] of these young kids you read about ,  just doesn't bother them to kill someone at all",Yes,Yes,,,,
136135:14,"he does have [SOME] real bizarre things, i think .",No,Yes,,,,
95853:38,"and, and i'm not sure but what [SOME] of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse.",Yes,Yes,,,,
138703:48,"same sort of problem that  happens sometimes is these, [SOME] of these, uh, like aids tests and such.",Yes,Yes,,,,
71046:43,"well, uh, but i do realize that, that is realistic for [SOME] people,",Yes,Yes,,,,
151138:37,"but, uh, they, they have done [SOME] testing around our office, mostly after lunch,  looking for people drinking, uh, drinking beer and stuff at lunch time,",No,Yes,,,,
53598:10,"we got [SOME] awful rain, uh, the other morning.",No,Yes,,,,
21020:14,"but, uh, [SOME] of the crap that 's on t v nowadays, it's about.",Yes,Yes,,,,
83988:6,"and [SOME] people will still buy them, you know,",Yes,Yes,,,,
138154:56,"uh, a few years ago, uh, we needed, uh, they needed [SOME] book shelves",No,Yes,,,,
84117:33,and i just went out this weekend and bought me [SOME] plants and stuff.,No,Yes,,,,
36312:38,"i think youngsters ought  to go out and do [SOME] public service,",No,Yes,,,,
161373:22,"but i also dislike, uh, [SOME] classical music,",Yes,Yes,,,,
168977:55,"and they have, uh, you know, in, in [SOME] cases they have a greater self-esteem because they can say, they can see that, you know, if i do something or sub-, submit my own will to the will of the sargent or whatever, at least for a short period of time, i can accomplish a lot",Yes,Yes,,,,
24443:14,"there are just [SOME] people that i, you know,",Yes,Yes,,,,
71540:47,"in fact, i was going  to go out today  to buy [SOME] plants so i could put them in,",No,Yes,,,,
62690:49,"and they say they can, you know, do something different and change [SOME] connectors",No,Yes,,,,
159588:39,"i, i even like guns and roses, [SOME] of their stuff.",Yes,Yes,,,,
125651:10,"um, [SOME] of the qualifications that i look for  was that, uh, you know, the cost, and, um, exactly what they did , if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were , and if the place was clean and um, the hours",Yes,Yes,,,,
9507:75,"well i guess this, the weather isn't as lively a topic as, uh, as [SOME] of the others we might have gotten .",Yes,Yes,,,,
169366:50,"and i can, i can, you know, accept that [SOME] people think it's not and can find better ways to use it .",Yes,Yes,,,,
96866:33,and so. but i know [SOME] of the other services do not think that women are capable of  doing the job.,Yes,Yes,,,,
103574:12,my line gets [SOME] static.,No,Yes,,,,
107802:43,"i, it, i have worked in [SOME] campaigns",No,Yes,,,,
110628:20,"um, but she might have [SOME] contacts here,",No,Yes,,,,
124787:54,"i really think, uh, you know, we're doing some, [SOME] important things.",No,Yes,,,,
80001:13,"i've got [SOME] applications,",No,Yes,,,,
170022:25,a couple of times we've tried [SOME] things,Yes,Yes,,,,
74155:5,some of these are urban worries,Yes,Yes,,,,
47182:40,"so, i'd go up somewhere and camp overnight and then do [SOME] rafting.",No,Yes,,,,
71600:26,"and she cooks them for an hour with [SOME] fat backs,,",No,No?,,,,
138469:69,"then, then on the other hand i think it 's harder to stay home in [SOME] regards.",Yes,Yes,,,,
82296:18,"and they were just screening [SOME] candidates,",Yes,Yes,,,,
116252:35,"i, i think there are [SOME] areas where we, where we, uh, pretty well, you know, get our money's worth ,",No,Yes,,,,
27056:5,some of them were even better behaved.,Yes,Yes,,,,
97543:11,"i have [SOME] friends that  have children,",No,Yes,,,,
135035:25,"i, i do [SOME] sewing, mostly out of necessity.",No,Yes,,,,
173724:18,"and by definition, for [SOME] of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level.",Yes,Yes,,,,
12611:177,"and i think that's the problem the p l o has  is that when they, whenever one group of them decides that they're going  to negotiate, or they're going  to do something, they're going  to try  to make [SOME] peace , but, uh, the end result is that they, there so many factions of them and, uh, [SOME] more violent than others, [SOME] with a certain agenda different than the others, or they split,",No; Yes; Yes,Yes; Yes; Yes,,,,
124385:34,"but now i, i do like [SOME] of these, uh, brighter, fluorescent colors.",Yes,Yes,,,,
104196:61,"not, not, you know, the bouncy, you know sing along kind but [SOME] of the old, older ones that",Yes,Yes,,,,
29416:66,"um, it, it, it  was very interesting that it seemed like [SOME] of the commentators had their axe to grind , you know,",Yes,Yes,,,,
52283:13,i mean [SOME] of them are done  good,Yes,Yes,,,,
100889:88,"and maybe, uh, maybe this would be a way to get that feeling back . um, if we've lost [SOME] of that",Yes,Yes,,,,
159124:81,who it really penalizes  is their insurance company which  then translates into higher rates for all of us. if they get [SOME] of those mega awards against them.,Yes,Yes,,,,
126604:16,"som-, [SOME] kids are so spoiled nowadays",Yes,Yes,,,,
29177:21,"they need  to put [SOME] sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get [SOME] discipline.",No; No,No?; No?,,,,
153105:51,they're their cat was an outside cat and just end up with [SOME] kittens,No,Yes,,,,
47262:53,"the, uh, the movie, the doors, has so-, [SOME] nice desert scenes,",No,Yes,,,,
130776:68,"and, uh, so, you know, if there are [SOME] energy savings or if there is [SOME] significant savings, anything that they can pass  on to the consumer, you know,",No; No,Yes; Yes,,,,
139682:16,"we've got, [SOME] children who  would just really, uh, enjoy  having an animal, you know, a dog, i think",Yes,Yes,,,,
25608:31,"and then, you know, we've got [SOME] guys here that  they are, you know, four and five handicappers",Yes,Yes,,,,
143183:27,it sounds like we've been to [SOME] of the same places.,Yes,Yes,,,,
31271:110,"are the rest of us who  went for the big bucks, you know, staying out of, you know, where maybe we should be kind of socially obligated  to spend [SOME] time  teaching or something with these kids .",Yes,Yes,,,,
53606:58,"apparently, i, i don't know if it was just the strong winds or [SOME] small tornadoes up this way too.",No,Yes,,,,
93264:4,"some people are compl-, now are complaining because the stuff isn't picked  up at the curbside, you know,",Yes,Yes,,,,
42653:25,"and, and if [SOME] of them are doing something that they shouldn't be  and then they have one of those toy guns in their hands",Yes,Yes,,,,
41573:26,"but then usually when you find out [SOME] information from like your parents , then you can find out from, you know, you can find somebody else that  can tell you something else about these,",Yes,Yes,,,,
129990:36,"although just, just about a week ago [SOME] of my volunteer mothers that, uh,  work in the library for me said they hadn't gotten theirs.",Yes,Yes,,,,
145369:58,"i h-, i have, we have some, [SOME] friends that  did the, exactly the same thing.",No,Yes,,,,
44119:16,"so we still have [SOME] of that trim work to do  because we put it off all this time,",Yes,Yes,,,,
78762:25,"but, even, even [SOME] little ones do pretty good",No,Yes,,,,
100584:49,"you know, go to the dining room and, and eat [SOME] good meals.",No,Yes,,,,
172656:9,at least [SOME] companies.,No,No,,,,
96656:11,"we have [SOME] engineers that  still,",No,Yes,,,,
168218:13,and they have [SOME] good feedback and all that stuff,No,Yes,,,,
160087:35,"uh, you know, as sort of [SOME] development and [SOME] training, uh,",No; No,Yes; Yes,,,,
96034:46,"well, as a matter of fact, uh, my mother was going through [SOME] things  not lon-, not long ago, i guess it has been a couple of years ago, in an old trunk that she had .",No,Yes,,,,
4529:07:00,and [SOME] of them were disastrous,Yes,Yes,,,,
131278:6,"and [SOME] ways, it might be kind of scary.",Yes,Yes,,,,
149891:51,"i've actually, i've known, known [SOME] people that  have had their cars stolen .",No,Yes,,,,
169856:19,"uh, but, uh, [SOME] friends of mine have, uh, gone through this.",Yes,Yes,,,,
54017:18,"just when i get [SOME] spare time here and there  i'll work on it,",No,Yes,,,,
70703:18,"well, i've done [SOME] rewiring on it.",No,Yes,,,,
18660:24,"i used it on, uh, [SOME] other machines in days gone by and was real pleased  to leave it.",Yes,Yes,,,,
113457:49,"and when the cowboys won the superbowl here , of course, they put together [SOME] real cute songs,",No,Yes,,,,
11233:53,"you know that was one thing we noticed  last week that we had [SOME] new people move into our building and, you know, the nice cardboard boxes that you move, packing boxes. and they were just used  one time and thrown  in the dumpster",Yes,Yes,,,,
91388:33,"so you've really, uh, i guess sacrificed [SOME] social exposure to different groups and everything.",Yes,Yes,,,,
145009:13,"and you hear [SOME] people say, you know, well, he's a man,",Yes,Yes,,,,
86451:40,"the only thing i didn't like  was in [SOME] of the more touristy areas uh, um, the, it would just be besieged  by people wanting to be your guide",Yes,Yes,,,,
30493:38,"there are [SOME] definitely, some, [SOME] advantages to it.",No,Yes,,,,
9797:33:00,"i've, i've seen [SOME] of them on repeats.",Yes,Yes,,,,
19744:12,"they were [SOME] groups of it, the vicksburg,",Yes,Yes,,,,
174864:19,"so, uh, there's [SOME] noise on this end.",No,Yes,,,,
108807:56,"um, i don't like  to listen to it all the time, but, um, [SOME] of the time, anyway.",Yes,Yes,,,,
107469:25,"and there are, you know, [SOME] places that  will set up you know for old newspapers and stuff.",No,Yes,,,,
47147:12,and there's [SOME] real nice ones in arkansas.,No,Yes,,,,
49875:48,"uh, they still have some, some, uh, [SOME] draft picks, uh, that they got ,",No,Yes,,,,
61538:39,"we, we were trying  to find [SOME] pictures of him recently.",No,Yes,,,,
38641:72,"i've always wanted  to go back and read [SOME] of my literature texts from college um, because i enjoyed [SOME] of those stories so much,",Yes; Yes,Yes; Yes,,,,
138298:34,it's an opportunity to get out and relieve [SOME] of the pressure that you feel  day to day,Yes,Yes,,,,
162002:32,"and, uh, we're looking at, uh, [SOME] just four door, five passenger sedans as well.",No,Yes,,,,
41566:22,"i just remember they had [SOME] funny stories,",No,Yes,,,,
84530:21,"at new years, we had [SOME] people come in and, uh, like attack one of the planes. because they were protesting, uh, the presence over in the persian gulf.",No,Yes,,,,
161183:38,"well, you should, you should have [SOME] opinions on that, then.",No,Yes,,,,
33345:49,one of the unique things in this it's like a pound of ground beef [SOME] bread crumbs um an egg um whatever seasonings,No,Yes,,,,
50337:29,and what 's wrong is right in [SOME] cases.,Yes,Yes,,,,
77264:6,"and [SOME] people said to me, well, that's our wintertime.",Yes,Yes,,,,
127761:15,not enough stories with [SOME] substance that you can really get into .,No,Yes,,,,
118734:78,"and, um, i think that if we had enough money and paid the teachers a little bit more, that maybe that could solve [SOME] of our problems.",Yes,Yes,,,,
20170:26,"there are, were some, uh, regulations  over, i don't know whether they're laws passed or, or whatever they're called  , uh, just recently, where, uh, people with certain diseases can not be excluded , uh, from, uh, immigration .",No,Yes,,,,
61000:7,"and [SOME] of the people that  work there have told me that when they have inspectors coming  they, you know, shut down everything and they clean up their act, but on a normal basis that they're, that they're dumping things, that they're not supposed  to be dumping ,",Yes,Yes,,,,
22992:33,"and then on the other hand, i've seen [SOME] people go into the nursing home and just so happy you know.",Yes,Yes,,,,
31987:28,"you know, after a while you make [SOME] stuff,",No,Yes,,,,
13983:93,"i, i, you know, i think that we have a bunch of elderly folks in the country that  could use [SOME] help",No,Yes,,,,
19933:5,some of those get very philosophical,Yes,Yes,,,,
48706:4,"some things we can't do ,",No,Yes,,,,
41717:66,"well i feel like too, on the job, when, you know, there's men around and [SOME] of the managers are men , you just, you know, you don't want them looking at your legs necessarily.",Yes,Yes,,,,
163234:34,"but i, i do know [SOME] of these places were doing that",Yes,Yes,,,,
16640:26,"i, i like [SOME] of his songs, though.",Yes,Yes,,,,
130994:56,"and, i guess he, he did [SOME] crazy thing  to get [SOME] extra money from the bank and then ran away, type of deal.",No; No,Yes; Yes,,,,
156060:102,"well, you also have the very close related thing of the, uh, rain forest destruction which  is the main source of what 's clearing out the atmosphere and replacing [SOME] of the pollutants.",Yes,Yes,,,,
18285:38,"in fact, we put in some, uh, [SOME] more roses yesterday.",No,Yes,,,,
130584:43,"uh, the closest thing i did  was go to [SOME] like, uh, restored castles and stuff.",Yes,Yes,,,,
5140:15:00,and that does take [SOME] time.,No,Yes,,,,
99355:10,"well, [SOME] of them, yes they do",Yes,Yes,,,,
15261:29,"i think that maybe that's why [SOME] people do it  is, uh, to see the other cultures or, you know and [SOME] of that.",Yes,Yes,,,,
31317:82,"and while it had, you know, a few little grammatical problems, it wasn't very long and so forth. i thought it had [SOME] nice, well thought out, uh, parts to it.",No,Yes,,,,
77887:17,"and so the kids in [SOME] ways are, are, are suffering a little bit, in that, uh, the model, the role models that  get the, the, the family issues that  get discussed , and all these, i think  are very important parts of them growing up,",Yes,Yes,,,,
44694:37,"uh, and, and, you know, [SOME] people might not believe that",Yes,Yes,,,,
60034:130,"and then we'll have all, we'll have, we will have the money if we would do that to, to work on your own system because we've got [SOME] serious problems here",No,Yes,,,,
88070:6,"and some, people don't even own a car and know how to drive a car .",Yes,Yes,,,,
146618:32,and then you would see see [SOME] of the others that  are were like distant from the other group,Yes,Yes,,,,
132148:16,and there's probably [SOME] truth to that.,No,Yes,,,,
14769:69,"and what we have  to do  is, we have  to go, uh,  get [SOME] stuff, steal it, and then, you know, just resell it.",No,Yes,,,,
176780:98,"rodney got beat  up because he, he, you know, he pur-, you know, he involved himself in [SOME] sub, self-destructive behavior.",Yes,Yes,,,,
164858:59,"there wasn't as many advanced placement courses , uh, when i was a senior  that [SOME] other schools had .",Yes,Yes,,,,
24802:122,"it's like if, if your father owns a grocery store and you're really interested in that, there's no reason that you should take college prep courses  when you can get [SOME] general business courses in high school .",Yes,Yes,,,,
75949:43,"you can, you know, you can get [SOME] of us,",Yes,Yes,,,,
102005:100,"it, it's, as much as you want, you know torn up and, and rice and cream of chicken soup and [SOME] mayonnaise and lemon juice and celery",No,Yes,,,,
43900:8,probably [SOME] of them did.,Yes,Yes,,,,
74608:91,"but, uh, that was, that's the extent of which i guess that's more than, than [SOME] people, less than others.",Yes,Yes,,,,
79893:26,"i, i have [SOME] neighbors across the field,",No,Yes,,,,
63072:28,and then i was having  to work [SOME] real late hours  to get caught with my work after i got out of class.,No,Yes,,,,
91119:18,so you probably could give [SOME] great advice.,No,Yes,,,,
135535:24,and then make movies out of [SOME] of them.,Yes,Yes,,,,
95835:35,"but out on the line, they've got people working [SOME] serious equipment.",No,Yes,,,,
47270:33,"i mean, it's just almost surreal, in [SOME] places.",Yes,Yes,,,,
95535:14,"she told me [SOME] of the things you can do ,",Yes,Yes,,,,
91184:148,"i, i think i'd, i'd advise a parent  to send a kid to a school , though, that  has a number of different types of programs, you know, that, uh, [SOME] of the smaller schools might be very limited in what they can offer ,",Yes,Yes,,,,
20839:32,"and, um, like, um, they also take [SOME] things at the flower mound dump behind the fire station there,",Yes,Yes,,,,
38991:16,"and i've done [SOME] of the crewel and the, um something similar to that",Yes,Yes,,,,
10235:39,unfortunately the rangers don't spread it around quite as big as [SOME] of the other teams do.,Yes,Yes,,,,
63221:32,"um, it's a lot more fun than [SOME] other things i could do , i guess .",Yes,Yes,,,,
99831:29,"that's enough to, uh, do [SOME] boating",No,Yes,,,,
89352:11,what are [SOME] others that you have seen  lately .,Yes,Yes,,,,
56132:85,"uh, or we'll suddenly be in the dark and say, oh, my goodness, now we don't have the ability to go on to [SOME] new technology.",Yes,Yes,,,,
45110:199,"and, uh, i do think more needs  to be done  along that line to help to, uh, teach the people, uh, uh, everyone, uh, more about what  is going on with voting and with nonvoting. so that, uh, we can make, they're making [SOME] more intelligent decisions.",No,Yes,,,,
151536:59,"and, uh, each one of the, everybody that  showed up donated [SOME] money for the rent and for, for like soft drinks",No,Yes,,,,
95804:23,there's got  to be [SOME] backup to say that,No,Yes,,,,
148183:40,i'd like  to go to sundance and park city and [SOME] of those.,Yes,Yes,,,,
23641:34,"we got, we got what [SOME] people call  the best beef in the world.",Yes,Yes,,,,
173289:7,but [SOME] of them are very rich,yes,Yes,,,,
109255:17,"the second thing is [SOME] colleges only offer the, uh, liberal arts and, uh, whereas like state, they offer engineering courses",Yes,Yes,,,,
101449:50,this is something that  ought  to be in the schools rather than [SOME] of the other stuff they do .,Yes,Yes,,,,
115483:40,"i like, i like  to read [SOME] of the philosophy stuff.",Yes,Yes,,,,
90144:26,but i do know that there are [SOME] wonderful places out there,No,Yes,,,,
140818:55,"well, we've heard bad, we've heard [SOME] bad things about [SOME] of those, you know,",Yes; Yes,Yes; Yes,,,,
119111:78,"uh, i just have a feeling that we've kind of talked out of both sides of mouths down there like we do in [SOME] other situations you know.",Yes,Yes,,,,
20734:50,"they'll help you, recycle, because we, there is [SOME] bins, like behind wal-mart, that  take [SOME] things.",No; Yes,Yes; Yes,,,,
104694:41,"and there's some, i think there's [SOME] good disney movies fixing to come out on video, uh, shipwrecked.",No,Yes,,,,
159233:9,"but in [SOME] instances you're going  to put companies out of business by  taking that stance, if they have  to take it out of their own retained earnings.",Yes,Yes,,,,
69672:11,they got [SOME] unusual things besides blood and urine tests.,No,Yes,,,,
160477:87,"and for the longer term i, i read, uh, like scientific american and, and, uh, readers' digest and [SOME] of those other types of magazines that  come out which, they,",Yes,Yes,,,,
16039:6,in [SOME] cases,Yes,Yes,,,,
141921:54,"and, uh, i also like  to plant flowers and do do [SOME] gardening and do arts and crafts.",No,Yes,,,,
2100:38:00,"um, it takes some, it  takes [SOME] dedication to do it,",No,Yes,,,,
124500:45,"my son and i used  to have a bet  going about [SOME] of the players that  had moved from here to minnesota,",Yes,Yes,,,,
108349:80,"so you don't have  to, you don't have  to buy the lot of the wardrobe that [SOME] of the people in banking and that kind of thing do .",Yes,Yes,,,,
134426:41,"and, uh, we've got [SOME] plum trees and [SOME] apple trees and [SOME] tomato and [SOME] blackberries and strawberries.",No (4),Yes (4),,,,
107796:20,"i have been involved in [SOME] political campaigns and that kind of thing,",No,Yes,,,,
169024:29,"uh, i know that there's been [SOME] increases in crime lately in terms of murders.",No,Yes,,,,
177102:83,"and the thing that  just was in the local news bulletin was, somebody has, uh, ter-, made [SOME] special, uh, polymers that  have the ability to, uh, make certain actinide elements adhere to them.",Yes,Yes,,,,
24388:44,"i, i thought maybe you might have had [SOME] experience with the, uh, r c one thirty-fives.",No,Yes,,,,
166817:15,definitely does need [SOME] improvements.,No,Yes,,,,
121141:6,and [SOME] people call them may beetles.,Yes,Yes,,,,
147754:50,"and personally i feel it's probably, there's probably [SOME] of each.",No,Yes,,,,
30596:33,"i mean, and then of course you have [SOME] changes to make , and do the whole thing over.",No,Yes,,,,
86408:11,in fact [SOME] of the days we froze.,Yes,Yes,,,,
98969:36,"and one thing that you get  if you have [SOME] expertise is, uh, you know the range of, of possible values or terms or, you know, how heinous was the crime .",No,Yes,,,,
85235:65,"so it 's kind of hard for me to tell what  would happen if i lived in [SOME] of the valleys inland,",Yes,Yes,,,,
71287:32,"at least what i read , is that [SOME] younger people feel that education is priced  out of their, uh, out of their, uh, budget.",Yes,Yes,,,,
23017:54,"but i guess once you get ill, then, you know, you really have [SOME] problems if you can't get around and do things.",No,Yes,,,,
5480:20:00,"but, uh, i know [SOME] people at t i,",Yes,Yes,,,,
39130:54,so. i think it  would be nice to just go out and pick [SOME] tomatoes off the porch.,No,Yes,,,,
59895:11,"he had [SOME] cocaine and th-, it was accused  of selling it,",No,Yes,,,,
152021:55,"and uh, our benefits package isn't, uh, isn't quite as good in [SOME] ways. uh, you know,",Yes,Yes,,,,
32957:13,"we've got [SOME] beets,",No,Yes,,,,
149373:69,"you know, i saw something  on c n n or on cable here a while ago that  showed [SOME] people that  had rabbits in apartments and in houses,",Yes,Yes,,,,
132402:20,"well, i know, [SOME] people go during lunch,",Yes,Yes,,,,
13347:160,"well, it seems that there's [SOME] things like the, uh, the programs at least just go around and, and, and clean up streets and, and, and pick up trash and even aluminum cans and [SOME] of these kinds of things.",No; Yes,Yes; Yes,,,,
74568:22,"and then let them try [SOME] innovative things and see what  works. and then, uh, have [SOME] sort of mechanism for passing that knowledge along to other teachers who  could benefit from the same sorts of things. and then from the parents' side, have the parents support the school. get involved.",No; No,Yes; No,,,,
169714:12,and it was [SOME] malaria medication,No,Yes,,,,
96743:132,"and, uh, uh, i guess my, i, uh, the one, my one bad thing is that i am, that i wish my mother had had [SOME] of those opportunities, because, i think she would have really, she rea-, would have succeeded in a lot of ways, that men, that women were not able  to succeed , in her, generation.",Yes,Yes,,,,
158188:98,"it's like they're saying well on the one hand they're not, he's not getting a jury of his peers which  is in [SOME] ways i think  true.",Yes,Yes,,,,
76326:14,"i did get [SOME] material and studied every bit of material that i could study ,",No,Yes,,,,
175399:7,"even [SOME] of the immediate things that i need  to know , i don't know it until the next hour",Yes,Yes,,,,
32977:37,"it takes a, yeah, it does take [SOME] space.",No,Yes,,,,
148529:15,"um, i have [SOME] spiro gyro tapes.",No,Yes,,,,
