Item_ID	Sentence	20-b
93477:92	and then once, about once every three or four years i try --n400c4a to get over to england, because i lived there for a while, some years back.	###.###uh-huh.###.###and, uh,###.###your family doesn't live close, then.###.###uh, not anymore.### they, uh, they've been in san diego for the last few years,###and they're moving to florida.###.###okay.###.###and that's one of those things,###you just have --n400a92 to go once a year.###.###yep,###i understand.###.###so, uh, basically it, it sorts out into that,
93765:12	so they took some time off that, uh, they could show us around.	###.###oh, that's interesting.###.### went to panama last august.###.###uh-huh.###.###our son-in-law is from panama.###.###oh.###.###and, uh, we went with our daughter and son-in-law --n406075 to visit his parents, who --n406094 live there.###.###uh-huh.###.###and his father is a, a doctor###and his mother is a kindergarten teacher,###and they took time off,###it was their winter###and they were having a little break,
93923:93	so even though i can look at it as a task, the, you know, i kind of get the, i get some kind of global benefit from the whole thing by --n401fa1 saying, well, i'm lowering my chance of heart attack, and thus, that type stuff.	###.###and so, it --n401903's interesting that as you get older you begin --n40192e to understand that you need --n401949 to exercise.###.###right.###.###my job at texas instruments, i have --n401a8c to sit in front of a computer all day and make phone calls, so, that, i don't get any exercise --n401af3 doing that###.###right.###.###and plus there's a build up of stress###.###uh-huh.###.###so i need --n401ce1 to go out and take those walks after dinner,###and i need --n401d9a to go out in the morning and run###or i'll just get nuts###.###right.###.###so that's kind of a motivator,
93980:53	you, you, you take the time --n403072 to relax some how	###.### going to the gym is, is actually something different than, than, like,###oh, and the running,###and i enjoy that too.###.###uh-huh###.###year,###i've been running since high school on track teams and the like,###.###oh.###.###so, running, i, i'm at that point which you probably get to --n402df4 after about six months of dedicated running where you don't feel your muscles any more --n402e3b###.###uh-huh.###.###.###right,###.###and you don't think about the pain of it.
94034:23	and i need --n4041e0 to find some place i could go --n404207 and not feel like there's all these people who --n404236 are just huge and hulking that --n404255 are...	### so, so i guess that aspect of that takes away the work the, with my wife, which --n403b77 is nice,###.###yeah.###.###i love her, you know,###i enjoy --n403d2a being with her###.###uh-huh.###.###i guess that's one thing,###but also, uh, that, that long term benefit of a little bit of tone in your muscles.###.###right,###that's it,###i do the occasional push up and sit up.###i haven't really brought myself to go to the the gym, because that's very stressful to me,###.###yeah.###.###because i feel, i felt real competitive there,
94131:13	that'll come some day when i,	###.###sleep.###.###if i'm going --n405b83 to walk at night, what do i trade it off for --n405bba.###well, star trek###.###uh-huh.###.###or, you know, it, it, it's always trade offs,###and you actually have --n405ddd to, as you get older you have --n405e08 to really think what --n405e23 can go, and what, --n405e42 to, to, to replace this thing.###.###yeah.###.###it's, i mean, not just exercise, but anything.###it's very hard.###.###right.###.###and, uh, i don't, i don't think you should worry about --n40617f not having a program yet.###.
94182:13	must be some italian spices in there.	###.###okay,###well, i, i, i guess if i was having a dinner party i, depending on the number of people, i might cook a, like a brisket or a roast or a, maybe a chicken dish###.###uh-huh.###.###and, um, i guess i usually plan probably a lettuce salad and a, a potato dish,###and we usually serve fresh fruit and, uh, then make a dessert.###.###oh, that sounds good.###.###so that makes,###.###uh, we're not, uh, real wealthy at the moment.###last time i had people over for dinner --n400609 we had lasagna,###and i used my mother's recipe,###i really like it.###it's got, um,###you cook the noodles and make, and brown hamburger and put tomato sauce in with it###and, i'm not sure she even puts,
94280:31	for all the inside parts you brown hamburger and put some, um, tomato sauce in it,	### trying --n4020a9 to think what else i like --n4020c8 to serve --n4020d7.###my mother likes --n402190 to serve taco grandes.###have you ever had, that.###.###i don't know,###.###.###what that is --n40229e.###no###i don't know what that is --n402311.###.###you take a flour tortilla###and you fry it like a taco shell###.###okay.###.###.###right.###.###and you, uh,
94526:45	and we found that if it's in a certain part of texas, some people come,	###first time,### i, i married into the family,###and the first time i went --n4006c9 was about fifty-seven, i think --n4006ec.###.###uh-huh.###.###but, uh, this one has been well organized###and in fact it used --n400834 to be at lake brownwood,###and now it's lake texoma, because that's more central location for people from oklahoma and texas to come to --n40091b.###.###uh-huh.###.###.###i'm sure location's really important as far as figuring out where one ought --n400a5f to be --n400a6e.###.###very important, because, uh, you'll start --n400b85 losing people if it's too far to go.###.###uh-huh.###we have factions, when it's one part --n400cc2,### we, i have one reunion on my mother's side,
94628:6	and some just come in for saturday	###.###uh-huh,###uh-huh.###.###but, um, they have various organized,###they have generally a volleyball net set up and horseshoes, uh, to pitch --n40257c,###and they organize a baseball game for the kids###.###uh-huh.###.###and several people bring boats,###and there's a place they, they take the kids up to the lodge and go --n40275a swimming up there in the afternoon --n402779,###so it it's a full day.###.###so there's lots to do --n40292f.###.###some of the people come down on friday afternoon and spend the whole weekend,###.###uh-huh.###.
94633:27	and it's a chance to see some of the relatives you don't see --n402bba all year long except that once a year.	###they have generally a volleyball net set up and horseshoes, uh, to pitch --n40257c,###and they organize a baseball game for the kids###.###uh-huh.###.###and several people bring boats,###and there's a place they, they take the kids up to the lodge and go --n40275a swimming up there in the afternoon --n402779,###so it it's a full day.###.###so there's lots to do --n40292f.###.###some of the people come down on friday afternoon and spend the whole weekend,###.###uh-huh.###.###and some just come in for saturday###.###uh-huh.###.###so, it, uh, has worked out quite well,
94692:14	and choose, some place that everybody's going --n403d43 to like --n403d52 as far as food and all that.	###yeah.###.###and we thought that would be fun to kind of tie it in as a vacation time as well as reunion.###.###yeah.###.###.###yeah,###we have,###each year, of course, they elect officers of the family reunion###.###uh-huh.###.###and a number of years ago, back in the early eighties, my wife was president.###we discovered how much work it --n403b3b is --n403b46 just to organize --n403b5d and get --n403b6c --n403b73 it together.###and it takes a lot of planning, and assembling of stuff.###.###uh-huh.###.###.
94747:14	there have been some really wild shows put on there.	###the show this weekend,###this weekend's going --n404586 to be a rock and roll show###.###oh, boy.###.###my two grandsons and one of their cousins are, are going --n40466d to dress up and lip sing to a rock song you know, in jeans and t-shirts and such.###.###oh, what fun.###.###.###uh-huh.###.###so, it's, uh, it's going --n404861 to be exciting for them, and for us too.###.###uh-huh.###probably lots of laughs.###.###oh, yes,###.###.
94780:11	and, uh some people do	###.###yeah.###.###so, the officer idea is a good idea.###.###yeah,###well we've, uh, had various things --n404f25 over the years, uh, --n404f48 to raise funds for it###.###uh-huh.###.###and again, it's not, it --n40506c's not cheap to rent the lodge up there or the meeting room down in the cabins and such,###.###yeah.###.###but, uh they've come up with,###.###uh-huh.###.###they've tried --n405297 passing the hat,###and they've had auctions and various things --n40531c to raise funds,
94784:6	and some people don't.	###.###yeah,###well we've, uh, had various things --n404f25 over the years, uh, --n404f48 to raise funds for it###.###uh-huh.###.###and again, it's not, it --n40506c's not cheap to rent the lodge up there or the meeting room down in the cabins and such,###.###yeah.###.###but, uh they've come up with,###.###uh-huh.###.###they've tried --n405297 passing the hat,###and they've had auctions and various things --n40531c to raise funds,###and, uh some people do###.###uh-huh.###.
94879:19	but, you know, some that --n402df2 are um, that, they're, they're not quite the same as the kids that --n402e51 are going to the inner city, uh, you know, public schools.	###but, uh, i just remember --n4020c2 seeing on the news the other night, they had the thing about how catholic schools are doing so much better --n402121###.###uh-huh.###.###i thought, well, you know, of course they're doing better,###and not so much when i was growing up --n40232b, catholic schools are generally considered --n40234a a little bit easier than the public schools,###but, uh, they still had a, a better success rate, simply because they started with a lot better raw material.###i mean everybody that --n402596 went to a catholic school had, uh, at least the parents did, at least, had education as a priority like you said and kind of had a whole conducive atmosphere to it.###.###right,###.###.###right.###.###and i wonder if, not so much that, uh,###.###well, i think it's, like you say, it's, it's the socioeconomic mix### there, you know, the, they're,###you look at the schools like that where you've got a lot of kids who --n402ada are basically, uh, that --n402afd might be more well to-, well off, you know, going to a private catholic school or whatever --n402b58, uh,### and, and they're not all that way,
94896:51	it shows, i think it shows that the parents have some, uh, desire for, for the kid to do, do well, you know,	### there, you know, the, they're,###you look at the schools like that where you've got a lot of kids who --n402ada are basically, uh, that --n402afd might be more well to-, well off, you know, going to a private catholic school or whatever --n402b58, uh,### and, and they're not all that way,###but, you know, some that --n402df2 are um, that, they're, they're not quite the same as the kids that --n402e51 are going to the inner city, uh, you know, public schools.###.###yeah.###.###.###yeah,###this is interesting because in my mind i don't have the stereotype of a catholic school being a suburban kind of environment,###but, uh, this, this was actually inner city###.###yeah.###.###people were sending,###i mean, just because their kids had the ability and the, and the drive --n4032e9 to do, try and get an education, they didn't send him to a public school, you know,###like you said, you have the drug problem and just the general atmosphere where you're pressured --n403513 not to learn --n403526 in instance,###.###yeah,###well, you know, in a lot of cases like that, where, you know, if kids are going to a public parochial school like that, it's, it's because the parents are more interested in them receiving an education.
94915:24	and i think this is happening some around the country in terms of, um, morals, trying --n404781 to teach the kinds of things that, that --n4047b8 aren't getting taught --n4047cf at home, and, uh, and, and respect for other people.	###well, you know, in a lot of cases like that, where, you know, if kids are going to a public parochial school like that, it's, it's because the parents are more interested in them receiving an education.### it shows, i think it shows that the parents have some, uh, desire for, for the kid to do, do well, you know,###and that may be passed --n403ad4 on down to the kid as well,###and, uh, maybe they pick up on that.###.###yeah.###.###and then from the other aspect, um, maybe the, uh, school itself has, has, has more emphasis on, uh, --n403c82 trying --n403c8d to do a good job because the classes may be smaller, uh,###they may be able --n403e5c to, to give the resources that --n403e8b's needed --n403e9a to, uh, to do a good job.###.###yeah,###i mean,###and what do you, what would you do --n404071 --n404078 to fix the school systems.###.###uh, that's a tough question how to fix the school system --n404183.###.###yeah,###.###uh, with, uh,###i would try --n404284 to, i guess, to see about getting parents more involved, with, try to, --n4042fb to come up with more ways to do that --n404332. uh, uh, uh, stress the importance of education to both both the parents and the students, and, uh, more, more classes that i think that --n4043d5 are,
94976:130	and, um, about, i guess about when the first, when the youngest one was in kindergarten --n400407 i started --n400416 working at a preschool and, uh, you know, doing some work,	###my children as a matter of fact, are all grown now.###so, i am assisting them with their children in their selections,###.###uh-huh.###.###.###oh, great.###.###so.###.###great,###well my children are grown,###but they're teenagers###.###uh-huh.###.###so i have three children, um, fifteen, ages fifteen, seventeen and twenty###.###uh-huh.###.
95199:151	but when time came --n404c7b to direct their ability to make choices to develop the kinds of things that, that they're going --n404cd6 to need --n404ce5 --n404cec to interact with other people --n404d07 --n404d0e, i felt like i needed some strong influence there.	###.###so i quit --n404820 working after my kids started to school and got involved in volunteer work in their private school so that i could help --n40487f direct their, their learning experiences and their development.###.###oh, you did.###.###.###um.###.###.###yeah,###yeah.###.### i, i felt like that anybody who --n404aad cared and loved the kids could change their diapers and feed them and bathe them and hold them.###.###uh-huh.###.###.###yes,###yes,###.
95345:10	i do some p c stand alone work on it,	###and she said, well, she said, you know, kids do exaggerate,###but she said, let's go ahead and send him another day, or two days,###and i promise you faithfully, i will watch the instructor every minute and see exactly what --n407487's happening.###.###oh, good,###.###.###yes,###.###.###so do you have p c --s.###.###i have a personal computer at home.###it's an a t compatible.###i don't use it very much any more.###i used --n4001a3 to use it quite a bit.###.###uh-huh.###.###i also have a p c --n400252 at work that i use --n40026d as a terminal.
95400:23	um, well, i actually do some work, --n4010c5 working at m i t and at nist, national institute of standards and technology in washington,	###.###uh-huh.###.###it's a three eighty-six###.###i'm jealous.###.###and the other is actually a i b m p c compatible,###it's a three eighty-six,###i guess it's twenty-five,###yeah,###three eight six twenty-five c maybe###i don't know,###no###we don't have the mumblex,###mumblex we decided --n400e26 not to get the mumblex which --n400e45 is actually another loaner one --n400e60 too that we picked --n400e77 up for a consulting job that my husband was doing --n400ea6,###and,###.###what kind of consulting do you do --n40103b.###.
95535:14	she told me some of the things you can do --n403dab,	###i can't talk on th-, can't do this much later than now, between sort of like six, five thirty and six thirty or something like that, because the traffic outside, they honk the horn so loud i can't even hear the phone call.###.###what time is it --n4037ee now where you are --n403805.###.###uh, about twenty after four.###.###so you're an hour ahead of where i am --n403902.###i'm in central central time zone.###.###okay,###yeah###.###.###we're eastern.###and, um, what did, did you ever try --n403aa1 using like prodigy or any of those systems.###.###no,###i haven't done that.###uh, i know someone who --n403c39 has,### and, and she's, uh, very, uh, pleased with it.
95572:10	i do some	###.### i have, i have used lotus.###i have used, uh, word perfect###.###uh-huh.###.###uh, i,###not heavy use.###i've used, uh, d base###and, uh, i've used a substantial amount of shareware.###um, i haven't done much lotus work connected with my job.###i've been through three classes###.###uh-huh.###.###and i have a great deal of respect for it.###.###uh-huh.###.###um, i haven't done much word processing work with my job.
95586:13	it's got some pretty strong competitors.	###.###and i have a great deal of respect for it.###.###uh-huh.###.###um, i haven't done much word processing work with my job.###i do some###.###uh-huh.###.###and i,###and the d base work i've done --n40491b was strictly class related.###.###i've never used d base, um,###but i've heard both good things and bad things about it.###.###well, it's probably the granddaddy of most, uh, data base management systems.###.###uh-huh.###.
95635:76	and that gives me the opportunity to, uh, come in to work and fix it, if i can't think of some thing to tell the trouble shooter --n405916 while we're on the phone.	###uh-huh.###.###and what do you work on --n4054de at t i.###.###i'm a computer programmer on the i b m main frames.###.###uh-huh.###.###.###uh-huh.###.###i do, uh, main-, mainly business data processing.###.###uh-huh.###.###i also handle production support for the systems in my area of responsibility.###.###uh-huh.###.###um, sometimes i get called --n4057b2 late at night at home because there's a production problem,
95645:41	well, i, i feel in light of some of the accidents and so forth that --n4000d3 have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,	###.###i do, uh, main-, mainly business data processing.###.###uh-huh.###.###i also handle production support for the systems in my area of responsibility.###.###uh-huh.###.###um, sometimes i get called --n4057b2 late at night at home because there's a production problem,###and that gives me the opportunity to, uh, come in to work and fix it, if i can't think of some thing to tell the trouble shooter --n405916 while we're on the phone.###.###.###right.###.###um, i also, uh, handle most of the calls from our users and other programmers who --n405b0d need --n405b18 to find out something connected,###.###.###what do you think --n400022 about it.###.
95645:100	well, i, i feel in light of some of the accidents and so forth that --n4000d3 have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,	###.###i do, uh, main-, mainly business data processing.###.###uh-huh.###.###i also handle production support for the systems in my area of responsibility.###.###uh-huh.###.###um, sometimes i get called --n4057b2 late at night at home because there's a production problem,###and that gives me the opportunity to, uh, come in to work and fix it, if i can't think of some thing to tell the trouble shooter --n405916 while we're on the phone.###.###.###right.###.###um, i also, uh, handle most of the calls from our users and other programmers who --n405b0d need --n405b18 to find out something connected,###.###.###what do you think --n400022 about it.###.
95651:89	so, i, i, uh, i, i, i feel like it should be mandatory in some professions,	###.###uh-huh.###.###um, sometimes i get called --n4057b2 late at night at home because there's a production problem,###and that gives me the opportunity to, uh, come in to work and fix it, if i can't think of some thing to tell the trouble shooter --n405916 while we're on the phone.###.###.###right.###.###um, i also, uh, handle most of the calls from our users and other programmers who --n405b0d need --n405b18 to find out something connected,###.###.###what do you think --n400022 about it.###.###well, i, i feel in light of some of the accidents and so forth that --n4000d3 have happened lately, that i think there are some occupations that they should, such as the health field, the transportation field, uh,###they're already doing it in the armed forces, where they handle weapons and so forth --n400366,###uh, they do it to prisoners###.###yeah.###.
95804:23	there's got --n403631 to be some backup to say that	###you know, so your name came out of pot when they spun the wheel --n402d90,### that's, that's just the way it is --n402e66.###.###either just the lucky or the unlucky one, depending on how you look at it --n402f59.###.### i would, i would rather --n40301e have it that way, to know that i was chosen --n403055 at random by a computer than to think that somebody turned me in because i, i think there's, when you let other employees turn in people --n4030e4,###.###oh, absolutely,###.###.###there are so many people with, with their petty axes to grind --n4033d3###.###right.###.###it could really get out of hand.###.###right.###.###.###so, i, i, i would really rather know, however,
95835:35	but out on the line, they've got people working some serious equipment.	###.###right.###.### i'd just i'd feel really uncomfortable.###.###right.###.###.###right.###i don't know what kind of work you do --n403ccd,###but there, there would be, even be a situation where you were at a machine and working with somebody that --n403da8 was that way --n403dbb.###.###yeah,### we have, we have a lot of people who --n403f31 work on the line.###i'm in accounting,###so it wouldn't,###you know they couldn't hurt me with their ten key or something,###.###right.###.
95845:124	i, i just think employers have --n404305 to have, especially given today, the drug abuse that --n404340 goes on, i just think employers have --n40436b to have some kind of way to see that they're not being put --n4043b6 at risk --n4043c5. because they're the ones who --n4043e8 are going --n4043f7 to have the lawsuits, the insurance claims, et cetera,	###but there, there would be, even be a situation where you were at a machine and working with somebody that --n403da8 was that way --n403dbb.###.###yeah,### we have, we have a lot of people who --n403f31 work on the line.###i'm in accounting,###so it wouldn't,###you know they couldn't hurt me with their ten key or something,###.###right.###.###but out on the line, they've got people working some serious equipment.###.###right.###.###.###right.###.###so.###.### it's, it's,
95853:38	and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse.	###right.###.###but out on the line, they've got people working some serious equipment.###.###right.###.###.###right.###.###so.###.### it's, it's,### i, i just think employers have --n404305 to have, especially given today, the drug abuse that --n404340 goes on, i just think employers have --n40436b to have some kind of way to see that they're not being put --n4043b6 at risk --n4043c5. because they're the ones who --n4043e8 are going --n4043f7 to have the lawsuits, the insurance claims, et cetera,###.###put at risk.###.###.###i agree totally.###.###.
95920:91	and, and then they say, well, if you give them the right to do this, then they're going --n4060e9 to take some other right away from you,	###.###uh-huh.###.###however, this isn't a problem that we have --n405a2d either alcohol or drug,###.###right.###.###and so, we, we, in our minds we're thinking what's the big deal --n405b3a.###.###yeah,###that's the way i looked at it --n405c5b.###if i had something to hide --n405cfb, it's one thing,###but i'm,###you know, you know you don't,###so it's not as big a deal,###and you sometimes wonder when these people protest so much --n405f08 whether they're really concerned about their rights, or whether they're really concerned about something else.###.###right.###.###.
96000:74	but, uh, i would, i think it would be smart if somebody would keep, uh, some sort of a plan that --n401663 works for them.	###that sounds real similar.###.###so, i think it --n40107f is probably better to have some sort of a, a, at least a record###but my dad was so precise, that, i mean, if it said to spend eleven percent on something that's what --n40124e it was spent --n401261.###.###um.###.###and that was put --n4013bf over there###.###oh, my,###yeah.###.###and, i mean, of course, he is from the depression,###and, uh, so, uh, you know, it's his life,###.###yeah.###.###.###sure.###.
96034:46	well, as a matter of fact, uh, my mother was going through some things --n402257 not lon-, not long ago, i guess it has been a couple of years ago, in an old trunk that she had --n4022c6.	###i'm a historian,###and my father had kept them, i think --n401d09, since nineteen twenty-seven### and, uh, but he burned the ones from twenty-seven to fi-,###.###my goodness.###.###i could not believe he did that,### but then, so, i took the ones from fifty-two on to the present,###.###oh dear.###.###.###yes.###.###but, to look, to have looked back into the twenties, thirties and forties, it --n40207a would have been fantastic, to see that.###.###oh yes.###.###but, uh,###.
96042:48	i mean it was, it was just almost laughable in some instances that, you know,	###.###oh dear.###.###.###yes.###.###but, to look, to have looked back into the twenties, thirties and forties, it --n40207a would have been fantastic, to see that.###.###oh yes.###.###but, uh,###.###well, as a matter of fact, uh, my mother was going through some things --n402257 not lon-, not long ago, i guess it has been a couple of years ago, in an old trunk that she had --n4022c6.###and she came upon a, a budget book that she had --n4024a2 back in the thirties. uh, when they,###.###uh-huh.###.###it was the late, well###i guess it would have been, i will take that back, it must have been in the forties, because they had been married, uh, probably fifteen years at the time.###and, it --n40282d was just, uh, fascinating to see how little things cost --n402868,
96092:53	well, uh, we have tried --n4036a0 to, uh, instill some, some sense of, uh, of budgeting in our kids,	###.###really.###oh, that is, that is really, really something.###.###oh. but, of course, it's just what the market will bear --n403313.###.###that's true.###.###if people will pay two hundred then why charge ten --n403411.###.###yeah,###.###you know, mumblex,###.### that's, that's right.### that's, exa-, that's just good old economics working.###.###right,###right.###.
96261:16	and i can take some real great tours to europe.	###sure.###.###so uh, it really makes it easier###.###yeah,###that's true.###.###but, uh, well, i have enjoyed --n4062f9 talking with you, jerry.###.###i have enjoyed --n4063a2 talking with you, kathy.###.###and, i, i wish i could hear more about your historian part of your life, because that sounds really fascinating to me.###i am interested in that.###.###well, if i had your address, i would send you,###i am also in the travel business,###i do tours###.###oh.###.
96428:11	they have some, but not, not so much.	###.###oh.###.###the beach is really nice, isn't it.###.###yes,### it's, uh, it's beautiful white sand and very clear blue green water, and a, lot of nice waves usually, uh,###.###oh.###.###.###sea shells.###.### enough, enough to make it.###i am sorry.###.###sea shells.###.###uh, there's not as many sea shells along there, uh,###that's the only thing that they really do not,
96432:43	um, if you go further down, uh, you will usually find some, but not right in there.	###.###yes,### it's, uh, it's beautiful white sand and very clear blue green water, and a, lot of nice waves usually, uh,###.###oh.###.###.###sea shells.###.### enough, enough to make it.###i am sorry.###.###sea shells.###.###uh, there's not as many sea shells along there, uh,###that's the only thing that they really do not,###they have some, but not, not so much.###.###yeah.###.
96656:11	we have some engineers that --n401137 still,	###.###but we have got more women in it now.###.###yes,###yes.###.###there's a lot of us in it.###.###yes, uh,###.###so.###.###yes###in years past, i know --n400f37, in fact, even, even the word drafter has changed,###.###uh.###.###because, it used --n401068 to be they were draftsman.###.###uh-huh,
96724:27	so, there are some, some strides --n4024db to be made --n4024ee there.	###.### and, and i think that, uh, you know, the one thing that i have seen --n401da2 is that more and more women are getting into management,###.###.###but i think they have got a long way --n401f2d to go --n401f3c.###.###oh, definitely,###definitely.###.###there was something on t v --n402049 the other day that --n402060 said that fewer than one or two percent of the heads of, uh, chairmen of the board, chair-, chair persons, uh, if you sa-, if you will, of the board are women in this country.###.###uh-huh.###.###.###uh-huh.###.###and i thought that, you know, that's pretty si-, a pretty significantly small number.###.###yeah.###.
96743:132	and, uh, uh, i guess my, i, uh, the one, my one bad thing is that i am, that i wish my mother had had some of those opportunities, because, i think she would have really, she rea-, would have succeeded in a lot of ways, that men, that women were not able --n402b2d to succeed --n402b3c, in her, generation.	###.###so, there are some, some strides --n4024db to be made --n4024ee there.###.###yeah,###yeah.###.###but, uh, i do not know,### i, i think we have come a long way, actually, when i think about, you know, when things were like even, when i, you know, just when i was in high school --n4026f5 --n4026fc, and how it is --n402717 now for girls --n40272a.###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###.###.###yeah,###.
96775:40	so, she is pretty much, although there were some other women in her class, she was, you know, uh, one of the minorities,	###uh-huh.###.###.###exactly.###.###so, anyway. do you have children.###.###no,###huh-uh.###.###i was going --n403008 to say do you have daughters.###that's always a good question.###.###do you.###.###yes.###in fact, i have a daughter who --n403154 is in a, a, who --n40317b just graduated in civil engineering, from college.###.###oh, wonderful.###.
96866:33	and so. but i know some of the other services do not think that women are capable of --n405083 doing the job.	###uh-huh.###.### the, uh, the, uh, the role of women in combat roles during the war.###.###oh, oh.###.###because, i know that there, now there, they want the armed forces to recognize that women can serve in combat roles.###.###uh-huh,###uh-huh.###.###and the only, uh, branch in the armed fo-, services that --n404ce3 seems willing --n404cf2 to do that is the air force.###and, uh, i spoke because women were filing, flying missions into, you know, for whatever reason, into, uh, in the persian gulf war.###.###huh.###.###.###yeah,###yeah.###.
96870:36	they were. i was listening to some of the comments on ra-, television --n405219 the other day, uh, about it,	###oh, oh.###.###because, i know that there, now there, they want the armed forces to recognize that women can serve in combat roles.###.###uh-huh,###uh-huh.###.###and the only, uh, branch in the armed fo-, services that --n404ce3 seems willing --n404cf2 to do that is the air force.###and, uh, i spoke because women were filing, flying missions into, you know, for whatever reason, into, uh, in the persian gulf war.###.###huh.###.###.###yeah,###yeah.###.### and so. but i know some of the other services do not think that women are capable of --n405083 doing the job.###.###.###it was real interesting,
96882:42	but i just would rather have, uh, a man --n4057e2 doing some of these jobs than a woman.	###.###yeah,###yeah.###.### and so. but i know some of the other services do not think that women are capable of --n405083 doing the job.###.###.###it was real interesting,### they were. i was listening to some of the comments on ra-, television --n405219 the other day, uh, about it,###.###uh-huh.###.###and, uh, one of, one of the men who --n40539f was a,###i do not know if he was a general or, you know, what his rank was --n4054b5,###very high.###.###uh-huh.###.###he said, mumblex it's just a personal thing with me.###i mean, i can not be real, you know i can not tell you why i feel this way --n4056a9,
96886:11	there's some men out there that --n405a58 are more feminine than most women.	### and so. but i know some of the other services do not think that women are capable of --n405083 doing the job.###.###.###it was real interesting,### they were. i was listening to some of the comments on ra-, television --n405219 the other day, uh, about it,###.###uh-huh.###.###and, uh, one of, one of the men who --n40539f was a,###i do not know if he was a general or, you know, what his rank was --n4054b5,###very high.###.###uh-huh.###.###he said, mumblex it's just a personal thing with me.###i mean, i can not be real, you know i can not tell you why i feel this way --n4056a9,###but i just would rather have, uh, a man --n4057e2 doing some of these jobs than a woman.###i thought, well, at least he was honest.###but, that does not sit very well with a lot of folks, i am sure --n40598f.###.
97004:103	because, uh, i, i guess i placed all but one or two of my calls. and, uh, only because i going --n407510 to make some money,	###that's good.###.###i personally have not made any calls yet, myself,### i, just, it never crosses my mind.###.###yeah.###.###.###yeah.###well,###.###but i enjoy --n407372 receiving them.###.###yeah,###well, that's good,###.###uh-huh,###uh-huh.###.###that's good,
97106:13	it's, some good, some bad, uh,	###you know, let the world train them what --n40069b to do --n4006aa.###but characteristically, you know, the women are trained, or have been in the past trained --n40079c in the home.###.###uh-huh.###.###and i really would be at a loss to, --n4008ac to raise and train a girl.###i think i would.###.###yeah,###it's,###well even, even raising boys today is different though, because, they are expected --n400a70 to do so much more than they used --n400a97 to.###.###oh, sure.###.###.###uh-huh.###.###you know, used --n400c53 to be they would just go off to work and come home,###and you know, everything was done.###and it, it's a different world.
97106:20	it's, some good, some bad, uh,	###you know, let the world train them what --n40069b to do --n4006aa.###but characteristically, you know, the women are trained, or have been in the past trained --n40079c in the home.###.###uh-huh.###.###and i really would be at a loss to, --n4008ac to raise and train a girl.###i think i would.###.###yeah,###it's,###well even, even raising boys today is different though, because, they are expected --n400a70 to do so much more than they used --n400a97 to.###.###oh, sure.###.###.###uh-huh.###.###you know, used --n400c53 to be they would just go off to work and come home,###and you know, everything was done.###and it, it's a different world.
97229:18	or we really do develop some health problems.	###right.###.###there's not a lot of physical labor, because, there are,###.###right.###.###.###you are not beating rugs,###.###uh-huh.###.###you are not, right, doing laundry by hand and that kind of thing.###.###right.###.###.###and in that respect, we have --n4025e6 to make ourselves become involved in physical exertion,###.###uh-huh.###.
97320:78	i was rea-, i was really looking forward to summer, thinking oh, we are going --n403e7b to have some time off.	###they need --n403895 to be busy###and they need --n4038fc to be active.###and i fought all of those things,###i said if those boys want --n4039e1 to be involved --n4039f4 in that they will come to me###and they will say mom this is important to me,###i want --n403b6e to do it,###.###right,###right.###.###otherwise, i will guard their ability to have quiet time.###.###you know, it's funny,###.###i refused --n403d16 to cram their lives full.###.###yeah,###yeah.###it's funny,###it's funny
97543:11	i have some friends that --n4003df have children,	###.### do you work with, do you work around children when you work --n4000c4.###.###no,###no,###not at all.###i work with computers.###.###with computers.###.###yep,###they what,###.###okay,###do you ha-,###.###one thing i,###.###but you have friends that --n400355 have children.###.
97584:19	well hopefully i can do some consulting work at home.	###no,###not at all,###in fact my situation is a little bit strange,###i was, uh, a student for many years, and then graduated and went and worked in france for awhile.###and, i, have just come back and was doing consulting work.###.###oh.###.###.###oh, my.###.###so i am just taking a little bit of time off right now.###.###a sabbatical.###.###uh, and, and i might,###.###well i hope you can stay as long as possible with it.###.###yeah,
97677:6	and some were just different objects that --n402eca have, had a definite purpose for kids, you know,	###right.###.###and, uh,###.###our oldest grandson, when he was eighteen months old --n40259a went into a, a montessori, day care system.###.###uh-huh.###.###and they took infants starting at six weeks,###and they have a program, uh, in, that --n40273f was devised --n40274e by this montessori person### and, uh, and a certain type of stimulations###and there's times of day that even when the child is awake --n4028ee that they, that they lay quietly and look at certain things###they keep, deliberately keep the room not real bright.###.###uh-huh.###.### and, and, uh, they have different things they will, they will put them down on the floor --n402b64,###and of course, they never have more than like five,### and, and they will put them down on the floor###and they will have on-, i think one of them was a little mirror
97813:26	and, you know, maybe do some free lance type work at home.	###incredible,###but you know, since this is,###.###speakera116-1*t116-1.###people before they get pregnant are finding child care for the kids.###speakerbnan*t116-1.###speakerb116-2*t116-2.###uh-huh,###speakeranan*t116-2.###.###uh-huh.###and, you know, i just find that incredible.###and my sister-in-law is going --n40567a to have a baby very, very soon###.###and she is intending --n40571d to stay home with the baby.###.###speakerb119-1*t119-1.###oh.###speakeranan*t119-1.###speakera119-2*t119-2.
